][ Games Inc
Bethesda Game Studios
Biart
Biart Company LLC
Big Ant Studios
Big Fat Alien
Big Finish Games
Big Head Games
Big Huge Games38 Studios
Big Pixel Studios
Big Robot Ltd
Big Sandwich Games
"Big Splash Games, LLC"
BigAnt Studios
bignic - Dolphin Barn
Binary Fortress Software
Binary Takeover
BioWare
BioWare Corporation
BioWareAspyr (Mac)
"Bit Blot, LLC"
"Bit Planet Games, LLC"
bitComposer Games
"BitMonster, Inc."
bitSmith Games
Bizarre Creations
BL-Logic
Black Cactus
Black Element
Black Forest Games
Black Isle Studios
Black Jacket Studios
Black Lion Studios
Black Market Games
Black Pants Game Studio
Black Sea Studios Ltd
Blackhole
Blackpowder Games
Bleank
Blendo Games
Blind Mind Studios
Blinkworks Media
BlinkWorks Media
Blit Software
Bloober Team
BluBee Games
Blue Byte
Blue ByteRelated
Blue ByteRelated Designs
Blue Castle Games
Blue Fang
Blue Isle Studios
Blue Omega Entertainment
BlueByteRelated Designs
BlueGiant Interactive
Blueline Games
BlueLine Games
blurredVision
Bohemia Interactive
Bohemia Interactive Studio
Boneloaf
Bongfish GmbH
Boolat GamesAlawar
Bootsnake Games
Born Ready Games
Born Ready Games Ltd.
Boss Baddie
Bossa Studios
Brain Candy
Brain Slap Studio
Brainbox GamesHip Games
BrainDistrict
Bram RuiterDaniel Oliveira Carneiro
Brandon Brizzi
Brawsome
Bretwalda Games
Brian Cronin
Brightside Games
Broken Rules
Browny Application
BS1 & BSL Team
Bugbear
BUGBEAR
Bugbear Entertainment
Buka EntertainmentLesta Studio
bumblebee.
BumpkinBrothers
Burian Media Enterprises
Burut CT
ByteRockers' Articy GmbH & Co. KG
Bytes of Learning
Cadenza Interactive
Cakewalk
Camel101 LLC
Candygun Games
candyrocketstudio
Capcom
"CAPCOM Co., Ltd."
"CAPCOM CO., LTD."
Capcom Game Studio Vancouver
"Capcom U.S.A., Inc."
Capcom Vancouver
Capcom Vancouver 
Capybara Games
Capybara Games6955
CapybaraSuperbrothersJim Guthrie
Carbon Games
Cardboard Computer
Carlo D'Apostoli Projects
Carlos CoronadoDani NavarroLuka Nieto
Carlsen Games
Casual Brothers
Cateia Games
Cauldron
CCP
CD Projekt RED
CD PROJEKT RED
Celestial Games
CeliannaDegica
Cellar Door Games
Celsius Game Studios
Centauri Production
Certain AffinityTM
Chainsawesome Games
Chaos Concept
Chaosoft Games
Chasing Carrots
Cherry Pop Games
ChessBase
Childish Things
Choice of Games
Chris Sawyer Productions
Christine Love
Chronic Logic
CI Games
"CINEMAX, s.r.o."
Cipher Prime Studios
Citeremis Inc.
City Interactive
Clickteam
Cliffhanger Productions
Climax Studios
ClockStone
ClockStone Studios
Cloud 9 Studio
Coatsink
Cobra Mobile
Cobra Mobile Limited
Code Avarice
Code Force
Codebrush Games
CodeHatch
Codemasters - Birmingham Studio
Codemasters Action Studio
Codemasters Birmingham
Codemasters BirminghamFeral Interactive (Mac)
Codemasters Digital
Codemasters Racing
Codemasters Racing Studio
Codemasters Studios
Coffee Stain Studios
Coilworks
Cold Beam Games
Colibri Games
Colin Northway with art by Thomas Shahan
Colossai Studio
Colossal Games
Colossal Order Ltd.
ComiPo! LLP
Commotion Games Pty Ltd
Compulsion Games
Computerhouse
Concave StudioColorful MediaEmagica
Conrad Nelson
Copenhagen Game Collective
Core Design
Coreplay GmbH
Coreplay GmbHBigmoon Studios
Corncrow Games
Crackpot Entertainment
Cranberry Production
Crankshaft Games
Crazy Moo Games
Crazy Viking Studios
Creat Studio
Creat Studios Inc
Creative Assembly
Creoteam
Crescent Moon Games
Crimson Cow
CrioLand
Criterion Games
Critical Studio
Crocodile Entertainment
Croteam
CroteamAlligator Pit
Crunching Koalas
Cryptic Sea
Cryptic Studios
Crystal Dynamics
Crystal Dynamics Inc.
Crystal DynamicsFeral Interactive (Mac)
Crystal Empire Games
Crytek
Crytek Studios
CSR-Studios
Cube Roots
Culture Attack StudioTyler Doak
Curious Panda Games
Curve Studios
Curve StudiosFuturLab
Cuve Games
Cyan
Cyan Worlds
Cyanide
Cyanide Montreal
Cyanide Montreal 
Cyanide Studio
Cyanide Studio - Spiders Studios
Cyanide Studios
Cyanide Studios 
CyberConnect 2
"CyberConnect2 Co., Ltd."
Cyberdreams
Cyberlore
Cypress Inheritance LLC
"D3Publisher of America, Inc."
d3t
Daedalic Entertainment
Daedalic EntertainmentIrresponsible Games
Dagger Games
Damian SommerEmily Carroll
Dan Walters
Dan WaltersCeri Williams
Dancing Dots
Dancing Dragon Games
Dark Artz Entertainment
Dark Castle Software
Dark Energy Digital Ltd.
Dark Gaia Studios
Dark Vale Games
"Dark Water Studios, Ltd."
DarkElite
darkForge Games LLC
DarkGod
Darkling Room
Darkworks
DarkworksSpiral House
Data Realms
Dave Gedarovich
David Amador
David Williamson
Day 1 Studios
Days of Wonder
Dead Mage
Dead Shark Triplepunch
Deadbreed AB
Deadline Games
Deadline Games  
Deadly Red Cube
Decaying Logic
Deck 13
Deconstructeam
Dedication Games
Deep Red Limited
Deep Silver Volition
Deepred
Defrost Games
Degica
DegicaJoel Steudler
DegicaKairi Sawler
DegicaTyler Warren
Deirdra Kiai Productions
Deirdra Kiai ProductionsSquinky and the Squinkettes
"Dejobaan Games, LLC"
"Dejobaan Games, LLCOwlchemy Labs"
Demiurge Studios
Dennaton Games
Destrax
Destrax Games
Devil's Details
Dialogue Design
DICE
DiezelPower
Different Tuna
Diffusional Arts
DigiFX Interactive
Digital Arrow
Digital Eel
Digital Extremes
Digital Fusion
Digital Happiness
Digital Leisure Inc.
Digital Reality
Digital Reality Software & Playbox
Digital Sound Factory
Digital Tentacle
Digital Traction
Digital Train Model (Mannu Pach)
Digital Train Models
DigitalDNA Games LLC
Digitalmindsoft
DigitalTrainModel
Dirigo Games
Dischan Media
Dlala Studios
DMD Enterprise
Dmytry Lavrov
DnS Development
Doctor Entertainment
DONTNOD Entertainment
Doppler Interactive
Doragon Entertainment
DotEmu
Double Eleven LimitedQ-Games. Ltd
Double Fine Productions
Double Helix Games
Double Helix GamesCapcom
Double Helix GamesRainbow StudiosNordic Games
DoubleDutch Games
doublesix
Doublesix Games
Dovetail Games
DPad Studios
DQ Team
"Dracue, Co. ltd"
Dragonfly
DragonSix
Dreadlocks Ltd.
"Dream Forge Entertainment, LLC"
Dream Up
Dreamatrix
Dreampainters
Dreamworlds
DrinkBox Studios
Droqen
DTP
dtp Entertainment
Duaik Entretenimento
DuganGaborElectric Cafe
Dumb and Fat Games
Dust Devil Studios Inc.
DVS
Dylan Fitterer
EA - Maxis
EA - MaxisAspyr (Mac)
EA Black Box
EA Los Angeles
EA Redwood Shores
Eagle Dynamics
Easy Co
EasyGameStation
Eclipse Games
Ed Key and David Kanaga
Edelweiss
Eden GamesHydravision Entertainment
Eden Industries
Eden Studios
Edge of Reality
Edmund McMillen and Florian Himsl
"Edmund McMillen, Florian Himsl"
"Edmund McMillen, Tyler Glaiel"
Eggtooth Team
Egosoft
Eidos-Montreal
Eidos Interactive
Eidos MontrealFeral Interactive (Mac)
Eidos Studio Hungary
EightyEightGames
Eipix
Eko Software
EKO Software
Elder Games
Eldon Harris
Elecorn
"Electric EggplantKalani Games, Inc."
Electronic Arts
Electronic Paradise
Elefantopia
Elephant Games
Elias ViglioneJussi Kukkonen
Elijah Mills
Elite Games Team
Elixir Studios
Empty Clip Studios
Endless Loop Studios
Endlessfluff Games
"Engient, Inc"
Enigma SP
Enitvare
Enlight Software Limited 
Ennoble Studios
Ensemble Studios
Enter Skies
Enterbrain
Entheogen Studios LLC
"Epic Games, Inc."
Epiphany Games
Epixx.org
Eric ChahiDotEmu
Eric HartmanBen GarneyAnthony Rotondo
Eric Provan - Ayyo Games
Erik Asmussen
Erik Svedang
"Escape Hatch Entertainment, LLC"
Etienne Perin
Eugen Systems
Eutechnyx
Eversim
Evolutionary Games
Ex Nihilo
Exato Games Studio
Excalibur
Excalibur Publishing
exDream
ExDream GmbH
Exkee
Exor Studios
EXOR Studios
exosyphen studios
Extend Studio
EXTREME
Extreme Reality
Eyebrow Interactive
Fabio Ferrara
Facepunch Studios
Failbetter Games
Fakt Software
FAKT Software Gmbh
"Fancy Bytes, Reactor"
Faravid Interactive
FarSight Studios
Farsky Interactive
Fatshark
Filament Games
Final Boss Entertainment
Final Form Games
Finn Morgan
Firaxis
Firaxis Games
Firaxis GamesAspyr (Mac)
"Firaxis GamesAspyr (Mac, Linux)"
Firaxis GamesFeral Interactive (Mac)Feral Interactive (Linux)
Fire Hose Games
Firebase Industries Ltd.
Firebrand Games
Firedance Games
FireFly Studios
FireFly StudiosFiraxis Games
Firemint
Fish Factory Games
Fishcow Studio
Fishlabs Entertainment GmbH
FIX Games
FIX Korea
Fixpoint Productions Ltd.
Flashback GamesThe Lordz Games Studio
Flat Software
Flippfly LLC
Flump Studios
Flying Wild Hog
Flyleap Studios Pty. Ltd.
FobTi interactive
Focus Home Interactive
Force Of Habit
Forever Entertainment S. A.
Fragment Production Ltd
FrameLineNetwork Kft.
Francisco Tellez de Meneses
FreakZone Games
Fred Wood
Free Lives
Freebird Games
Freedom Factory
Freegamer
Freeze Tag Inc.iQ212
Freeze Tag Inc.Joju GamesLinksolutions Ltd.Dekovir Entertainment
Frictional Games
Frima
Frima Studio
"Frogdice, Inc"
Frogwares
Frogwares  
FromSoftware
"FromSoftware, Inc"
Frontier
Frontier Works
FrontierAspyr (Mac)
Frozen Flame
Frozenbyte
Full Control
Full Control / WIT Entertainment
Full Control Studios
FUN Creators
Fun Labs
Funcom
Funkitron
Future GamesUnknown Identity
Future Studios
Futuremark
FX Interactive
G-Trax
G-Trax Simulation
G5 Entertainment
Gabriel Entertainment
Gaijin Entertainment
Gaijin Entertainment Corporation
Gaijin Games
Galactic Cafe
Galhmac Game Studio
Gamatic
Game Distillery s.r.o.
Game Mechanics LLC
Gamebell Studio
GamebryoVirtual Playground
GameDesignDan
GameORE
Gamepires
Gamerizon
Games Distillery s.r.o.
Games Faction
Games Farm
Games Farm s.r.o.
Games Foundry
Gaming Minds
Gaming Minds Studios
Gas Powered Games
"Gaslamp Games, Inc."
Gato Salvaje S.L.
Gazillion Entertainment
Gearbox Software
GearBox Software
Gearbox SoftwareAspyr (Mac)
GearBox SoftwareAspyr (Mac)
Geeta Games
Geniaware Srl
Gentleman Squid Studio
Geoff Keighley
GFI Russia
GhostShark
Giant Army
Giant Box Games
Giants Software
Giants Software 
Gl33k
GlyphX Games
GNTX
Gogii
Gogii Games
Going Loud Studios
Gojira
Goldhawk Interactive
GolemLabs
Golgoth Studio
Gone North Games
GRAOUMF
grapefrukt games
Graveck
Graviteam
Gray Matter Studios
Greenheart Games
Gremlin Interactive
GrendelGames
GRIP Digital s.r.o.
Grip Games
GSC Game World
GTGD
Gugila
Gunnar Games
"Gunnar Games, Inc."
Haemimont Games
Haemimont GamesFeral Interactive (Mac)
Haggard Games
Hailstorm Games
Halycon Media GmbH & Co. KG
Hammer Labs
Hammerpoint Interactive
Hanako Games
HandMade Game
Handsome Games
Handyman Studios
Hapa Games
Harebrained Schemes
"Harmonix Music Systems, Inc"
Haruneko Entertainment
Harvester Games
Hashbang Games
"Hassey Enterprises, Inc."
Hazardous Software Inc.
HB Studios
Headfirst Productions
Headup Games / Crenetic
Headup Games / Radon Labs
Headup GamesClockstone
Headup GamesSilent Dreams
Headup GamesStudio Fizbin
Heavy Iron Studios
Hello Games
Hemisphere Games
Her Interactive
"Her Interactive, Inc."
Hermitworks Entertainment 
Hexage
Heydeck Games
Hi-Rez Studios
Hidden Path Entertainment
"Hidden Path Entertainment, Ensemble Studios"
"Hidden Path Entertainment, Ensemble StudiosSkyBox Labs"
"Hidden Path Entertainment, Inc."
High Moon Studios
Himalaya Studios
Hip Soft
Hitbox Team
Hitcents
Holotech Studios
Holy WarpBlack Wing Foundation
Homegrown Games
Honeyslug
Horberg Productions
Hothead Games
Human Head Studios
Humble Hearts LLC
Humongous Entertainment
Hydravision Entertainment
Hyper Hippo Productions Ltd.
Hypercane Studios
HyperKat Games
HyperSloth
I-deal Games
I-Illusions
I Fight Bears
I Sioux Game Productions B.V.
Ian Campbell
Ian Snyder
Icarus Games
Ice-pick Lodge
Icehole Games
Icetesy SPRL
id Software
Idea Factory
Ideas Pad
"Ideum, Inc."
Idigicon
Idol FX
Ignatus Zuk and Gonzalo Villagomez
Illwinter Game Design
Image&Form
ImagineEngline
Imba Entertainment
Impromptu Games
Incinerator Studios
increpare games
Independent Arts Software
Independent Programmist Group
Infinite Interactive
Infinite Monkeys Entertainment Ltd.
Infinity Ward
Infinity WardAspyr (Mac)
Infinity WardSledgehammerAspyr (Mac)
Infinity WardSledgehammerRaven SoftwareAspyr (Mac)
Influenzo
Infogames Europe SA
initials
inner seas
InnoGlowStormregion
Ino-Co
Ino-Co Plus
InoCo
InsGames
Interabang Entertainment
InterAction studios
Interceptor Entertainment
Interdimensional Games Inc
"International Games System, Co., LTD."
Interplay Inc.
InterWave Studios
InterWave StudiosGameConnect
Intoxicate Studios
IntoXicate Studios
Intravenous Software
Introversion Software
Invent4 Entertainment
Inventive Dingo
Investigate North
inXile Entertainment
IO Interactive
IO InteractiveFeral Interactive (Mac)
Iocaine Studios
Ion Storm
IonFx
IonFX
Ionising Software
IPACS
iPi Soft 
Iridium Studios
Iron Galaxy Studios
Iron Lore Entertainment
Ironclad Games
Ironclad GamesStardock Entertainment
Ironhide Game Studio
Ironsun Studios
Ironward
Irrational Games
Irrational GamesAspyr (Mac)
Irrational GamesLooking Glass Studios
Isotope 244
ISOTX
Iteration 11
iWin
Jagex Limited
James Dean
Jarhead Games
Jason Oda
Jason Rohrer
Jasper Byrne
"JCR Soft Co., Ltd"
Jellyvision
Jesse Gallagher
Jet Set Games
JForce Games
Jigxor
JK Soft
Joakim Sandberg
Jonathan Yandel
Joshua Neurnberger
Joshyy
JoWooD Vienna
JoyMasher
Jugilus
Juicy Beast Studio
Jujubee S.A.
JumpCore Productions
Just A Pixel Ltd.
Just Trains
K-D Lab
KADOKAWA GAMES / GRASSHOPPER MANUFACTURE
Kaos Studios
Kaos StudiosDigital Extremes
Kardfy Studios
Katauri
Katauri Interactive
KatGames
KDV Games
Keen Software House
Keith Ross
Keith RossRailSimulator.com
Kerberos Productions
Kerberos Productions Inc.
Kettel
Key17 Games
Keybol
Kheops Studio
KillHouse Games
Killspace Entertainment
Kinelco & Lone Elk Creative
KING Art
KING Art Games
KinifiGames LLC
Kitfox Games
Kiz Studios
Klei Entertainment
Kloonigames
Knuckle Cracker
KO GmbH
KoboldgamesDaedalic Entertainment
"KOEI TECMO GAMES CO., LTD."
KOG
Kokakiki
Komar Games
Konstantin Koshutin
Kot in Action Creative Artel
KranX Productions
Krealit
Krillbite Studio
Kritzelkratz 3000JoWooD
Krome Studios
Krystian Majewski
Kudosoft
Kukouri
Kuno Interactive
Kunos Simulazioni
kunst-stoff GmbH
Kyle Pulver
Kylotonn Entertainment
L3O Interactive
La Moustache Studio
Lab Zero Games
Lantana Games
Larian Studios
"Laser Guided Games, LLC"
Last Day of Work
Last Dimension
Last Limb
Laughing Jackal LTD
Lazy 8 Studios
Le Cortex
Leadwerks Software
Legend Studio
LeGrudge & Rugged
Lemondo Entertainment
Lesta Studio
"Level Up Labs, LLC"
LGK Games
Lightmare Studio
Limasse Five
Limbic Entertainment GmbH
Limbic Entertainment GmhH
Linden Lab
Linked Dimensions
Lion's Shade
Lionhead Studios
Liquid Entertainment
Liquid Flower
Little Green Man Games
Little Green Men Games
Little Worlds Interactive
Little Worlds Studio
Lively Ivy
Lizsoft
Llamasoft LTD
LLC Anngames
Lo-Fi Games
Locked Door Puzzle
Logic Artists
Lonely Troops
Longbow Games
LookAtMyGames
Looking Glass Studios
Loopmasters
Loren Lemcke
Lost Decade Games
Luc BernardSilverSphereStudios
LucasArts
LucasArtsAspyr Studios
Lucky Frame
Ludeme GamesSirlin Games
LudoCraft Ltd.
Ludosity
LudosityRemar Games
Lukewarm Media
Lunar Giant
M2HBlackMill Games
Machine Games
Mad Orange
Mad Otter Games
MADia Entertainment
MadMan Theory Games
Magic Indie
Magic Wand
MagicalTimeBean
Magiko Gaming
MAGIX Software GmbH
Magnetic Realms
Makivision Games
Malfador Machinations
Mando productions
Manic Game Studios
Mannu Pach
Mario von RickenbachPlayables LLC
Mark Healey
Martin Ivanov
Mascot Entertainment
Massive Entertainment
Master Creating
Master Technologies
Matt Roszak
Matt Thorson
Matthew Brown
MaxisTM
Med-Art
Mediatonic
MediatonicHato Moa
Megadev
MEGAFUZZ
Memetic Games
Mercenary Technologies
MercurySteam - Climax Studios
MerscomBabylon
Meshtools
MeshTools
Messhof
Metamorf
Meteoric Games
Methid Solutions
Michael Brough
Michael Todd Games
Michael Todd GamesYazar Media Group LLC
Micro Factory Games
Microblast Games
MicroidsAnuman InteractiveKoalabs Studio
"MicroProse Software, Inc"
mif2000
Might and Delight
Mighty Rabbit Studios
Mighty Rocket Studio
Mike Bithell
Milepost Simulations
Milestone S.r.l.
Milkstone Studios
Mimimi Productions
Mind Over Matter Studios
"MindBlocks Studio, LLC"
Mindstorm Studios
Mindware Studios
"Mine Loader Software Co., Ltd."
MiniBoss
Minicore Studios
MinMax Games Ltd.
Minor Key Games
Minority Media Inc.
Mirillis Ltd.
Misfits Attic
Mithis Games
Mixamo
MoaCube
Mode 7
Modern Dream
Momentum Digital Media Technologies
Mommy's Best Games
Mondoproduction
Monochrome LLC
Monolith
"Monolith Productions, Inc."
"Monolith Productions, Inc. "
"Monolith Productions, Inc.Timegate"
Monte Cristo
Moonpod
Morgopolis Studios
Most Wanted Entertainment
Mousechief
MR-Software GbRRolf Westphalen
MumboJumbo
MURA Interactive
Murray Atkinson
Murudai
Muse Games
Muzzy Lane
Muzzy Lane Software
Myrtilus Entertainment
Mystic Box
N A GA Entertainment
N3V Games
N94Games
Nadeo
Naked Sky Entertainment
Namco
Namco Bandai Games
NAMCO BANDAI Studio Inc.
Nano Games
Narrow Monolith
Ndemic Creations
Near Enough Games
Necrophone Games
Neko Entertainment
Nemesys Games
Nemoria Entertainment
NEOCORE GAMES
NeocoreGames
NeoCoreGames
Nerd Monkeys
Nerdook Productions
NetherRealm StudiosHigh Voltage Software
Neutron Games
Neutron Games GmbH
Nevercenter Ltd. Co.
Neversoft
New Reality Games
New Star Games
New Star Games Ltd
New World Interactive
Nexeon Technologies
Nexon
nFusion Interactive
NGD Studios
Nicalis
NicalisStudio Pixel
Nick Donnelly
Nicklas Nygren
Niels Bauer Games
Nifflas' Games
Niffler Ltd.
Night Light Interactive
NIGORO
Nihon Falcom
Nikita
Nimbly Games
Ninja Theory
Nitro Games
Nitro Games 
Nival
Noble Empire Corp.
Nocturnal works
Noego
Nom Nom Games
Nomad Games
Nomad Games Limited
Nomad GamesNomad Games Limited
Nordic Games
Nordic GamesMind Over Matter Studios
North of Earth
North Side
Northway GamesSarah Northway
Noumena Studios
Noumenon Games
NovaLogic
Noviy DiskLesta Studios Inc
Nowhere Studios
NQ Games
"Ntreev Soft Co., Ltd."
Ntronium Games
Nucleosys
null
Numantian Games
Number None
Oasis Games
Obsidian Entertainment
Octagon Interactive
Octane GamesMeridian4
Oddworld Inhabitants
Ohm Force
Okugi Studio
Old School Games
"Olli Harjola, Otto Hantula, Tom Jubert, Carlo Castellano"
On The Level Game Studios
Oovee Game Studios
OPQAM
Opus
OPUS
Orange_Juice
Organic Humans
Origin8
Orion Games
Orthogonal Games
Oryx Design Lab
osao games
Other Ocean Interactive
Out of the Park Developments
Outerlight Ltd.
Outrage Entertainment
Over The Moon
Over the Top Games
OVERDRIVE
Overhaul Games
OVERKILL - a Starbreeze Studio.
OVERKILL Software
ovos
Owl Cave
Owlchemy Labs
Oxeye Game Studio
Pandemic Studios
Pantera Entertainment
Panzer Gaming Studios
Paradox Development Studio
Paradox Interactive
Paradox North
Parallax
Parallax Arts Studio
Parseh Game Studio
Passtech Games
Pathea Games
Paul Marrable
Paul Schneider
Pavel Bulatov
Pawe Mogia
PD Design Studio
Pendulo Studios
People Can Fly
"People Can FlyEpic Games, Inc."
Perpetual FX Creative
Pete Gillam
Peter Cleary
Peter Moorhead
Petit Depotto
Petroglyph
PGN Dev
Phenomic
Phobic Studios
Phoenix Game Studio
Phoenix Online Studios
Phoenix Online StudiosPinkerton Road Studio
Phosfiend Systems
Phosphor Games
Phr00t's Software
Pictopotamus
Pieces Interactive
Pigasus Games
Pilgway
Piranha  Bytes
Piranha  Bytes 
Piranha Bytes
Pivotal Games
Pixelante Game Studios
Pixelatto
PIXOWL INC.
Planet Moon Studios
Plastic Piranha
Plastic Reality Technologies
Platine Dispositif
"Play, Silden"
Playbrains
PlaybrainsFuel Entertainment
Playdead
PlayFirst
Playrix Entertainment
Playstos
Playstos Entertainment
Playway
PlayWay S.A.
PlayWay S.A.Red Dot Games
Pocketwatch Games
Point Five Projects
Pointscape
Polynetix Studio
Polynetix StudioWIWD Development
PolyPusher Studios
Polytron Corporation
PomPom
PomPom Games
Popcannibal
"PopCap Games, Inc."
Poppermost Productions
PopTop
PopTop SoftwareBreakAway GamesFrog City Software
Positech Games
Power of 2
Power Up Audio
Press Play
Primate Labs Inc.
Priority Interrupt
Project Whitecard Studios Inc.
ProjectorGames
Promotion SoftwareQuadriga
Proper Games
Provox Games 
Proxy Studios
Psychotic Psoftware
Psydra Games LLC
Puny Human
Puppygames
Puuba
PuubaChristopher Hoag
PV Games
PVGames
Pwnee Studios
Pyro Studios
Pyrodactyl
Pyxel Arts
"Q-Games, Ltd."
Q Entertainment Inc.
QCF Design
Qooc Software
Qooc Software 
Quantic Dream
Quantized Bit
QUByte Interactive
Queasy Games
QUICKTEQUILA
QUICKTEQUILACalum Bowen
R C Knight
"Radial Games CorpDejobaan Games, LLC"
Radial Games CorpLoren BednarDr. Kimberly Voll
Radiangames
Radical Entertainment
Radioactive Software
Radon Labs
Radon Labs GmbH
Rage Software
Ragequit Corporation
Rail Slave Games
RailSimulator.com
Rain Games
Rake in Grass
Rampant Games
Ranmantaru Games
Rasmus Ljunggren
Ratloop Asia
Raven Software
Raven SoftwareAspyr (Mac)
RavenSoft / id Software
Razorworks
RC Knight
Re-Logic
React Games
RealAxis Software
Reality Pump
Reality Pump Studios
Reality Twist GmbH
Really Slick
Realmforge Studios
Rebellion
Recoil Games
Red Barrels
Red Dot GamesPLAY
RED DUCK Inc.
RED DUCK Inc. 
Red Meat Games
Red Redemption
Red Rocket Games
Red Storm Entertainment
Red Storm EntertainmentUbisoft Montreal
Red Wasp Design Ltd
Redlynx
Redlynx Ltd
Redlynx LtdUbisoft  Shanghai
"RedLynx, in collaboration with  Ubisoft Shanghai, Ubisoft Kiev"
Refactored Games OU
Relentless Software
Relic
Relic Entertainment
Reload Game Studio
Reloaded Productions
Remedy Entertainment
Remedy Entertainment Ltd.Mountain Sheep Inc.  Cornfox & Brothers Ltd.
Renegade Kid
Replay Studios
Reppo
Reppo (Ricardo Rivera)
Retro Affect
Retro Affect & WiL Whitlark
"Retro64, Inc."
Reverie World Studios
Revistronic
Revolution Software Ltd
Revultive Games
Rich Vreeland (Disasterpeace)
Richard Perrin
RichMakeGame
RichMakeGameColin Northway
Rising Star Games
Ritual Entertainment
Rob Howland
Robomodo
Robot Entertainment
Robotality
Robotronic Games
Rocket Bear Games
"Rocket City Studios, Inc."
Rocket Jump
Rockstar Games
Rockstar New England
Rockstar North
Rockstar North / Toronto
Rockstar NorthRockstar Toronto
Rockstar San Diego
Rockstar Studios
Rocksteady Studios
Rogue Earth LLC
Rogue Entertainment
rokapublish GmbH
Roll7General Arcade
Roman Syrovatka
rondomedia GmbH
Ronimo Games
Room 8 Studio
RosePortal Games
Rovio Entertainment Ltd
"RSUPPORT Co., Ltd."
"RSUPPORT Co., LTD."
"RSUPPORT CO.,LTD."
RTL interactive
Rudolf Kremers & Alex May
Rune Forge
RuneStorm
Runic Games
Running With Scissors
Rusty MoyherShaun InmanMatt Grimm
RVL Gamesexosyphen studios
Saber Interactive
Sabi Games
Saibot Studios
SaintXi
Sakari Indie
Sakari Indie & GriN
sakevisual
Sakura River Interactive
Samurai Punk
Sand Sailor Studio
Sandlot Games
Sandswept Studios
Santa Ragione
Sanzaru Games
Sarbakan
Saturn-plusOrion
Sauropod Studio
Schell Games
Schulenburg Software
Scientifically Proven
Scorpius Games
Scott ThuneliusChronic LogicTony Porter
Screaming Bee
Screwfly Studios
Screwy Lightbulb
Screwy LightbulbAbstraction
SCS Software
Sean Hogan and Jonathan Kittaka
Seaven Studio
Sebastien Bini
Secret Base
Secret Exit Ltd.
Section Games
SeeThrough Studios
SEGA
